CompanyYear,Operating Revenues (Sales),Total Assets,Total Current Assets,Total Current Liabilities,Equity Capital,Retained Earnings (End of Period),Operating Profit (Loss),Total Liabilities,Total Shareholders' Equity,Net Profit,Iran's GDP,z_score
البرز_دارو_1301,934721.0,1283617.0,1070378.0,652797.0,200000.0,359863.0,350179.0,702839.0,580778.0,238288.0,7342514000,2.74172284316044
البرز_دارو_1302,1666179.0,1759457.0,1569040.0,722290.0,250000.0,706930.0,751984.0,776612.0,982845.0,562067.0,10001801000,3.906842064736283
البرز_دارو_1303,2142340.0,2159759.0,1926843.0,920001.0,300000.0,882385.0,920457.0,946459.0,1213300.0,655455.0,11551853000,3.928292452115844
البرز_دارو_1304,2589997.0,2852280.0,2555666.0,1147932.0,450000.0,1196888.0,1298768.0,1159477.0,1692803.0,929503.0,11443030000,4.072268847706372
البرز_دارو_1305,3029172.0,3817615.0,3477074.0,1537094.0,680000.0,1517747.0,1591173.0,1550953.0,2266662.0,1153859.0,13191562000,3.824025185675604
البرز_دارو_1306,3609399.0,5284110.0,4116150.0,2531974.0,930000.0,1708863.0,1724366.0,2551332.0,2732778.0,1304116.0,15345033000,3.071495875585883
البرز_دارو_1307,4892461.0,8361009.0,6862026.0,4422027.0,930000.0,1966364.0,2273489.0,4440730.0,3920279.0,1513001.0,17556000000,2.477126564262747
سبحان_دارو_1301,626838.0,658230.0,536692.0,288792.0,75000.0,268376.0,276935.0,307354.0,350876.0,208822.0,7342514000,3.777237412112967
سبحان_دارو_1302,1085405.0,1062981.0,838936.0,419240.0,75000.0,522519.0,590495.0,442962.0,620019.0,434143.0,10001801000,4.514472236341806
سبحان_دارو_1303,1417291.0,1473489.0,1195105.0,701059.0,90000.0,546410.0,688061.0,718079.0,755410.0,499758.0,11551853000,3.741799774306721
سبحان_دارو_1304,1636786.0,2152138.0,1806778.0,1173102.0,300000.0,624941.0,807864.0,1197197.0,954941.0,559531.0,11443030000,3.061512967614567
سبحان_دارو_1305,1557567.0,2282120.0,1851270.0,1302724.0,430000.0,462432.0,684632.0,1775161.0,935432.0,390065.0,13191562000,2.6131293511934
سبحان_دارو_1306,1964707.0,2598283.0,2093242.0,1435125.0,580000.0,482872.0,847105.0,1477411.0,1120872.0,486940.0,15345033000,2.828703604143392
سبحان_دارو_1307,2591304.0,3375628.0,2659433.0,1444948.0,1030000.0,733552.0,1253683.0,1515851.0,1859777.0,764505.0,17556000000,3.435885516343341
abidi_1301,550331.0,924963.0,773731.0,636794.0,56000.0,201226.0,140089.0,662137.0,262826.0,67861.0,7342514000,1.719635100237038
abidi_1302,1182123.0,2158326.0,1703710.0,1754948.0,168000.0,191714.0,362144.0,1786868.0,371458.0,122882.0,10001801000,1.446167436917703
abidi_1303,1479402.0,2460312.0,1904669.0,1975316.0,168000.0,253214.0,415389.0,2023439.0,436873.0,77679.0,11551853000,1.517192906318984
abidi_1304,2195000.0,2690466.0,1955520.0,1891688.0,168000.0,493707.0,726086.0,2011959.0,678507.0,266834.0,11443030000,2.253468466286352
abidi_1305,3011845.0,3703611.0,3020143.0,2223230.0,369600.0,681712.0,1072088.0,2330772.0,1372839.0,520645.0,13191562000,2.516418315298955
abidi_1306,4011093.0,4502036.0,3772188.0,2311348.0,672000.0,1316297.0,1327346.0,2446539.0,2055497.0,747985.0,15345033000,2.98593009037837
abidi_1307,6030186.0,7283105.0,5865956.0,3896359.0,672000.0,1408671.0,1983816.0,4127234.0,3155871.0,1224679.0,17556000000,2.594320086153867
amin_1301,371469.0,533376.0,444507.0,290695.0,100000.0,107913.0,118155.0,315463.0,217913.0,68325.0,7342514000,2.385481776027957
amin_1302,709747.0,1017566.0,855421.0,584479.0,100000.0,292961.0,317873.0,614605.0,402961.0,215048.0,10001801000,2.663022764019718
amin_1303,968003.0,1615662.0,1106234.0,749887.0,580000.0,224790.0,379109.0,789454.0,826208.0,228364.0,11551853000,2.660103361147801
amin_1304,1070893.0,1817307.0,1228395.0,800961.0,580000.0,350687.0,372628.0,853997.0,963310.0,224102.0,11443030000,2.640678976504525
amin_1305,1158975.0,2210481.0,1500921.0,1043637.0,829400.0,241807.0,417434.0,1094470.0,1116011.0,243617.0,13191562000,2.392502304068087
amin_1306,1268193.0,2610256.0,1779257.0,1297242.0,829400.0,385856.0,486295.0,1336721.0,1273535.0,269492.0,15345033000,2.277928739836864
amin_1307,2064340.0,3424418.0,2483988.0,1555451.0,829400.0,804536.0,864537.0,1707542.0,1716876.0,567751.0,17556000000,2.717783094818052
ابوریحان_1301,730865.0,1063116.0,887824.0,834965.0,80000.0,111522.0,242303.0,848594.0,214522.0,107237.0,7342514000,1.830919006699924
ابوریحان_1302,1216569.0,1425490.0,1258933.0,1049674.0,80000.0,258589.0,458866.0,1063901.0,361589.0,235067.0,10001801000,2.44370769174153
ابوریحان_1303,1560395.0,1965650.0,1798852.0,1524476.0,80000.0,272064.0,566382.0,1541586.0,424064.0,254899.0,11551853000,2.154206756894691
ابوریحان_1304,1861560.0,2539977.0,2361205.0,2062159.0,144000.0,296796.0,641447.0,2084781.0,455196.0,270172.0,11443030000,1.93035233593646
ابوریحان_1305,1962560.0,2651942.0,2490879.0,1998983.0,144000.0,324955.0,789898.0,2024587.0,627355.0,381952.0,13191562000,2.147983270359799
ابوریحان_1306,1882825.0,3042402.0,2889379.0,2288952.0,288000.0,411808.0,754606.0,2313794.0,728608.0,374853.0,15345033000,1.931441509131243
ابوریحان_1307,2518880.0,3157887.0,3001813.0,2084645.0,288000.0,632312.0,1051562.0,2108775.0,1049112.0,598306.0,17556000000,2.588252357100504
زاگرس_1301,512909.0,855728.0,678152.0,679081.0,35400.0,129217.0,148821.0,682881.0,172847.0,97246.0,7342514000,1.58705518181464
زاگرس_1302,743169.0,947952.0,732768.0,682930.0,70800.0,118214.0,237270.0,751858.0,196094.0,102897.0,10001801000,2.04644798834271
زاگرس_1303,956191.0,1328810.0,1108663.0,1039127.0,106200.0,127678.0,338144.0,1084312.0,244498.0,135684.0,11551853000,1.930938366121524
زاگرس_1304,901986.0,1611836.0,1399411.0,1480536.0,106200.0,-16660.0,204616.0,1511676.0,100160.0,-43447.0,11443030000,1.083708491164681
